,Unnamed: 0,section,title,page_no,content,tagged_content
92,92,7.4.3,Apparent Depth,143,Imagine coin on the bottom of shallow pool of water. If you reach for the coin you will miss it because the light rays from the coin are refracted at the waters surface. Consider light ray that travels from an underwater object to your eye. The ray is refracted at the water surface and then reaches your eye. Your eye does not know Snells Law it assumes light rays travel in straight lines. Your eye therefore sees the image of the at coin shallower location. This shallower location is known as the apparent depth. The refractive index of medium can also be expressed as ,Refraction|Refraction|Refraction|Light|Light|Light|Snell's law|Refractive index|Refractive index|Refractive index|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)
93,93,7.5,Mirrors,146,mirror is highly reflective surface. The most common mirrors are flat and are known as plane mirrors. Household mirrors are plane mirrors. They are made of flat piece of glass with thin layer of silver nitrate or aluminium on the back. However other mirrors are curved and are either convex mirrors or are concave mirrors. The reflecting properties of all three types of mirrors will be discussed in this section. ,Plane mirror|Plane mirror|Reflection (physics)|Reflection (physics)|Curved mirror|Curved mirror
94,94,7.5.1,Image Formation,146,Definition: Image An image is representation of an object formed by mirror or lens. Light from the image is seen. If you place candle in front of mirror you now see two candles. The actual physical candle is called the object and the picture you see in the mirror is called the image. The object is the source of the incident rays. The image is the picture that is formed by the reflected rays. The object could be an actual source that emits light such as light bulb or candle. More commonly the object reflects light from another source. When you look at your face in the mirror your face does not emit light. Instead light from light bulb or from the sun reflects off your face and then hits the mirror. However in working with light rays it is easiest to pretend the light is coming from the object. An image formed by reflection may be real or virtual. real image occurs when light rays actually intersect at the image. real image is inverted or upside down. virtual image occurs when light rays do not actually meet at the image. Instead you see the image because your eye projects light rays backward. You are fooled into seeing an image virtual image is erect or right side up (upright). You can tell the two types apart by putting screen at the location of the image. real image can be formed on the screen because the light rays actually meet there. virtual image cannot be seen on screen since it is not really there. To describe objects and images we need to know their locations and their sizes. The distance from the mirror to the object is the object distance do. The distance from the mirror to the image is the image distance di. ,Real image|Real image|Real image|Light|Light|Light|Light|Light|Light|Light|Light|Light|Light|Light|Light|Light|Work (physics)|Virtual image|Virtual image|Virtual image|Distance|Distance|Distance|Distance|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Physics
95,95,7.5.2,Plane Mirrors,147,When you look into mirror you see an image of yourself. The image created in the mirror has the following properties: 1. The image is virtual. 2. The image is the same distance behind the mirror as the object is in front of the mirror. 3. The image is laterally inverted. This means that the image is inverted from side to side. 4. The image is the same size as the object. 5. The image is upright. Virtual images are images formed in places where light does not really reach. Light does not really pass through the mirror to create the image it only appears to an observer as though the light were coming from behind the mirror. Whenever mirror creates an image which is virtual the image will always be located behind the mirror where light does not really pass. Definition: Virtual Image virtual image is upright on the opposite side of the mirror as the object and light does not actually reach it. ,Light|Light|Light|Light|Light|Virtual image|Virtual image|Virtual image|Distance
96,96,7.5.3,Ray Diagrams,148,We draw ray diagrams to predict the image that is formed by plane mirror. ray diagram is geometrical picture that is used for analyzing the images formed by mirrors and lenses. We draw few characteristic rays from the object to the mirror. We then follow ray-tracing rules to find the path of the rays and locate the image. Important: mirror obeys the Law of Reflection. The ray diagram for the image formed by plane mirror is the simplest possible ray diagram. Figure 7.15 shows an object placed in front of plane mirror. It is convenient to have central line that runs perpendicular to the mirror. This imaginary line is called the principal axis. Important: Ray diagrams The following should be remembered when drawing ray diagrams: 1. Objects are represented by arrows. The length of the arrow represents the height of the object. 2. If the arrow points upwards then the object is described as upright or erect. If the arrow points downwards then the object is described as inverted. 3. If the object is real then the arrow is drawn with solid line. If the object is virtual then the arrow is drawn with dashed line. Method: Ray Diagrams for Plane Mirrors Ray diagrams are used to find the position and size and whether the image is real or virtual. 1. Draw the plane mirror as straight line on principal axis. 2. Draw the object as an arrow in front of the mirror. 3. Draw the image of the object by using the principle that the image is placed at the same distance behind the mirror that the object is in front of the mirror. The image size is also the same as the object size. 4. Place dot at the point the eye is located. 5. Pick one point on the image and draw the reflected ray that travels to the eye as it sees this point. Remember to add an arrowhead. 6. Draw the incident ray for light traveling from the corresponding point on the object to the mirror such that the law of reflection is obeyed. 7. Continue for other extreme points on the object. Suppose light ray leaves the top of the object traveling parallel to the principal axis. The ray will hit the mirror at an angle of incidence of degrees. We say that the ray hits the mirror normally. According to the law of reflection the ray will be reflected at degrees. The ray then bounces back in the same direction. We also project the ray back behind the mirror because this is what your eye does. Another light ray leaves the top of the object and hits the mirror at its centre. This ray will be reflected at the same angle as its angle of incidence as shown. If we project the ray backward behind the mirror it will eventually cross the projection of the first ray we drew. We have found the location of the image It is virtual image since it appears in an area that light cannot actually reach (behind the mirror). You can see from the diagram that the image is erect and is the same size as the object. This is exactly as we expected. We use dashed line to indicate that the image is virtual. ,Angle of incidence|Angle of incidence|Light|Light|Light|Light|Position (vector)|Virtual image|Distance|Plane mirror|Plane mirror|Plane mirror|Plane mirror|Plane mirror|Specular reflection|Specular reflection|Specular reflection|Direction (geometry)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Length
97,97,7.5.4,Spherical Mirrors,150,The second class of mirrors that we will look at are spherical mirrors. These mirrors are called spherical mirrors because if you take sphere and cut it as shown in Figure 7.16 and then polish the inside of one and the outside of the other you will get concave mirror and convex mirror as shown. These two mirrors will be studied in detail. The centre of curvature is the point at the centre of the sphere and describes how big the sphere is. ,Curved mirror|Curved mirror|Curved mirror|Curved mirror
98,98,7.5.5,Concave Mirrors,150,The first type of curved mirror we will study are concave mirrors. Concave mirrors have the shape shown in Figure 7.17. As with plane mirror the principal axis is line that is perpendicular to the centre of the mirror. If you think of light reflecting off concave mirror you will immediately see that things will look very different compared to plane mirror. The easiest way to understand what will happen is to draw ray diagram and work out where the images will form. Once we have done that it is easy to see what properties the image has. First we need to define very important characteristic of the mirror. We have seen that the centre of curvature is the centre of the sphere from which the mirror is cut. We then define that distance that is half-way between the centre of curvature and the mirror on the principal axis. This point is known as the focal point and the distance from the focal point to the mirror is known as the focal length (symbol f). Since the focal point is the midpoint of the line segment joining the vertex and the center of curvature the focal length would be one-half the radius of curvature. This fact can come in very handy remember if you know one then you know the other Definition: Focal Point The focal point of mirror is the midpoint of line segment joining the vertex and the centre of curvature. It is the position at which all parallel rays are focussed. Why are we making such big deal about this point we call the focal point? It has an important property we will use often. ray parallel to the principal axis hitting the mirror will always be reflected through the focal point. The focal point is the position at which all parallel rays are focussed. Figure 7.19: concave mirror with three rays drawn to locate the image. Each incident ray is reflected according to the Law of Reflection. The intersection of the reflected rays gives the location of the image. Here the image is real and inverted. From Figure 7.19 we see that the image created by concave mirror is real and inverted as compared to the virtual and erect image created by plane mirror. Definition: Real Image real image can be cast on screen it is inverted and on the same side of the mirror as the object. ,Real image|Real image|Light|Work (physics)|Position (vector)|Position (vector)|Distance|Distance|Plane mirror|Plane mirror|Plane mirror|Specular reflection|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Length|Length|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror
99,99,7.5.6,Convex Mirrors,153,The second type of curved mirror we will study are convex mirrors. Convex mirrors have the shape shown in Figure 7.20. As with plane mirror the principal axis is line that is perpendicular to the centre of the mirror. We have defined the focal point as that point that is half-way along the principal axis between the centre of curvature and the mirror. Now for convex mirror this point is behind the mirror. convex mirror has negative focal length because the focal point is behind the mirror. Figure 7.20: Convex mirror with principle axis focal point (F) and centre of curvature (C). The centre of the mirror is the optical centre (O). To determine what the image from convex mirror looks like and where the image is located we need to remember that mirror obeys the laws of reflection and that light appears to come from the image. The image created by convex mirror is shown in Figure 7.21. Figure 7.21: convex mirror with three rays drawn to locate the image. Each incident ray is reflected according to the Law of Reflection. The reflected rays diverge. If the reflected rays are extended behind the mirror then their intersection gives the location of the image behind the mirror. For convex mirror the image is virtual and upright. From Figure 7.21 we see that the image created by convex mirror is virtual and upright as compared to the real and inverted image created by concave mirror. Extension: Divergence convex mirror is also known as diverging mirror. Light rays appear to diverge from the focal point of convex mirror. ,Light|Light|Geometrical optics|Plane mirror|Specular reflection|Specular reflection|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Ray (optics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Length|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror|Curved mirror
100,100,7.5.8,Magnification,154,In Figures 7.19 and 7.21 the height of the object and image arrows were different. In any optical system where images are formed from objects the ratio of the image height hi to the object height ho is known as the magnification m. hi ho This is true for the mirror examples we showed above and will also be true for lenses which will be introduced in the next sections. For plane mirror the height of the image is the same as the height of the object so the magnification is simply hi ho 1. If the magnification is greater than the image is larger than the object and is said to be magnified. If the magnification is less than the image is smaller than the object so the image is said to be diminished. ,Geometrical optics|Plane mirror|Magnification|Magnification|Magnification|Magnification
101,101,7.6,Total Internal Reflection and Fibre Optics,156,,
102,102,7.6.1,Total Internal Reflection,156,When we increase the angle of incidence we reach point where the angle of refraction is 90 and the refracted ray runs along the surface of the medium. This angle of incidence is called the critical angle. Definition: Critical Angle The critical angle is the angle of incidence where the angle of reflection is 90. The light must shine from dense to less dense medium. If the angle of incidence is bigger than this critical angle the refracted ray will not emerge from the medium but will be reflected back into the medium. This is called total internal reflection. Total internal reflection takes place when light shines from an optically denser medium to an optically less dense medium. the angle of incidence is greater than the critical angle. Definition: Total Internal Reflection Total internal reflection takes place when light is reflected back into the medium because the angle of incidence is greater than the critical angle. Each medium has its own unique critical angle. For example the critical angle for glass is 42 and that of water is 488. We can calculate the critical angle for any medium. Calculating the Critical Angle Now we shall learn how to derive the value of the critical angle for two given media. The process is fairly simple and involves just the use of Snells Law that we have already studied. To recap Snells Law states: n1 sin n2 sin where n1 is the refractive index of material n2 is the refractive index of material is the angle of incidence and is the angle of refraction. For total internal reflection we know that the angle of incidence is the critical angle. So c. However we also know that the angle of refraction at the critical angle is 90. So we have: 90. We can then write Snells Law as: n1 sin n2 sin 90 Solving for gives: n1 sin n2 sin 90 sin n2 n1 (1) sin1 n2 n1 Important: Take care that for total internal reflection the incident ray is always in the denser medium. ,Refraction|Refraction|Refraction|Refraction|Refraction|Refraction|Refraction|Angle of incidence|Angle of incidence|Angle of incidence|Angle of incidence|Angle of incidence|Angle of incidence|Angle of incidence|Angle of incidence|Light|Light|Light|Geometrical optics|Geometrical optics|Snell's law|Snell's law|Snell's law|Snell's law|Snell's law|Snell's law|Refractive index|Refractive index|Refractive index|Refractive index|Refractive index|Refractive index|Refractive index|Ray (optics)|Ray (optics)|Ray (optics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Total internal reflection|Total internal reflection|Total internal reflection|Total internal reflection|Total internal reflection|Total internal reflection
103,103,7.6.2,Fibre Optics,161,Total internal reflection is powerful tool since it can be used to confine light. One of the most common applications of total internal reflection is in fibre optics. An optical fibre is thin transparent fibre usually made of glass or plastic for transmitting light. Optical fibres are usually thinner than human hair The construction of single optical fibre is shown in Figure 7.23. The basic functional structure of an optical fibre consists of an outer protective cladding and an inner core through which light pulses travel. The overall diameter of the fibre is about 125 (125106m) and that of the core is just about 10 (10106m). The mode of operation of the optical fibres as mentioned above depends on the phenomenon of total internal reflection. The difference in refractive index of the cladding and the core allows total internal reflection in the same way as happens at an air-water surface. If light is incident on cable end with an angle of incidence greater than the critical angle then the light will remain trapped inside the glass strand. In this way light travels very quickly down the length of the cable. Fibre Optics in Telecommunications Optical fibres are most common in telecommunications because information can be transported over long distances with minimal loss of data. The minimised loss of data gives optical fibres an advantage over conventional cables. Data is transmitted from one end of the fibre to another in the form of laser pulses. single strand is capable of handling over 3000 simultaneous transmissions which is huge improvement over the conventional co-axial cables. Multiple signal transmission is achieved by sending individual light pulses at slightly different angles. For example if one of the pulses makes 7223 angle of incidence then separate pulse can be sent at an angle of 7226 The transmitted data is received almost instantaneously at the other end of the cable since the information coded onto the laser travels at the speed of light During transmission over long distances repeater stations are used to amplify the signal which has weakened somewhat by the time it reaches the station. The amplified signals are then relayed towards their destination and may encounter several other repeater stations on the way. Fibre Optics in Medicine Optic fibres are used in medicine in endoscopes. The main part of an endoscope is the optical fibre. Light is shone down the optical fibre and medical doctor can use the endoscope to look inside patient. Endoscopes are used to examine the inside of patients stomach by inserting the endoscope down the patients throat. Endoscopes allow minimally invasive surgery. This means that person can be diagnosed and treated through small incision. This has advantages over open surgery because endoscopy is quicker and cheaper and the patient recovers more quickly. The alternative is open surgery which is expensive requires more time and is more traumatic for the patient. Endoscopy means to look inside and refers to looking inside the human body for diagnosing medical conditions. ,Refraction|Angle of incidence|Angle of incidence|Plasticity (physics)|Light|Light|Light|Light|Light|Light|Light|Light|Light|Speed|Laser|Laser|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Geometrical optics|Distance|Distance|Refractive index|Power (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Reflection (physics)|Length|Total internal reflection|Total internal reflection|Total internal reflection|Total internal reflection
104,104,8,Magnetism,167,,
105,105,8.1,Introduction,167,Magnetism is the force that magnetic object exerts through its magnetic field on another object. The two objects do not have to physically touch each other for the force to be exerted. Object feels the magnetic force from Object because of Object 1s surrounding magnetic field. Humans have known about magnetism for many thousands of years. For example lodestone is magnetised form of the iron oxide mineral magnetite. It has the property of attracting iron objects. It is referred to in old European and Asian historical records from around 800 BCE in Europe and around 600 BCE in Asia. The root of the English word magnet is from the Greek word magnes probably from Magnesia in Asia Minor once an important source of lodestone. ,Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Force|Force|Force|Magnetic field|Magnetic field|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Field (physics)|Field (physics)|Physics
106,106,8.2,Magnetic fields,167,magnetic field is region in space where magnet or object made of ferromagnetic material will experience non-contact force. Electrons moving inside any object have magnetic fields associated with them. In most materials these fields point in all directions so the net magnetic field is zero. For example in the plastic ball below the directions of the magnetic fields of the electrons (shown by the arrows) are pointing in different directions and cancel each other out. Therefore the plastic ball is not magnetic and has no magnetic field. In some materials (e.g. iron) called ferromagnetic materials there are regions called domains where these magnetic fields line up. All the atoms in each domain group together so that the magnetic fields from their electrons point the same way. The picture shows piece of an iron needle zoomed in to show the domains with the electric fields lined up inside them. In permanent magnets many domains are lined up resulting in net magnetic field. Objects made from ferromagnetic materials can be magnetised for example by rubbing magnet along the object in one direction. This causes the magnetic fields of most or all of the domains to line up and cause the object to have magnetic field and be magnetic. Once ferromagnetic object has been magnetised it can stay magnetic without another magnet being nearby (i.e. without being in another magnetic field). In the picture below the needle has been magnetised because the magnetic fields in all the domains are pointing in the same direction. ,Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Plasticity (physics)|Plasticity (physics)|Electric field|Force|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Electron|Electron|Electron|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field line|Field line
107,107,8.3,Permanent magnets,169,,
108,108,8.3.1,The poles of permanent magnets,169,Because the domains in permanent magnet all line up in particular direction the magnet has pair of opposite poles called north (usually shortened to N) and south (usually shortened to S). Even if the magnet is cut into tiny pieces each piece will still have both and pole. These poles always occur in pairs. In nature we never find north magnetic pole or south magnetic pole on its own. Magnetic fields are different to gravitational and electric fields. In nature positive and negative electric charges can be found on their own but you never find just north magnetic pole or south magnetic pole on its own. On the very small scale zooming in to the size of atoms magnetic fields are caused by moving charges (i.e. the negatively charged electrons). ,Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Electric field|Position (vector)|Magnetic field|Magnetic field|Electron|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Electric charge|Electric charge|Electric charge|Direction (geometry)|Field (physics)|Field (physics)|Field (physics)
109,109,8.3.2,Magnetic attraction and repulsion,169,Like poles of magnets repel one another whilst unlike poles attract. This means that two poles or two poles will push away from each other while pole and pole will be drawn towards each other. Definition: Attraction and Repulsion Like poles of magnets repel each other whilst unlike poles attract each other. ,Magnet|Magnet|Magnetism|Magnetism
110,110,8.3.3,Representing magnetic fields,170,Magnetic fields can be represented using magnetic field lines. Although the magnetic field of permanent magnet is everywhere surrounding the magnet (in all dimensions) we draw only some of the field lines to represent the field (usually only dimensions are shown in drawings). In areas where the magnetic field is strong the field lines are closer together. Where the field is weaker the field lines are drawn further apart. The strength of magnetic field is referred to as the magnetic flux Important: 1. Field lines never cross. 2. Arrows drawn on the field lines indicate the direction of the field. 3. magnetic field points from the north to the south pole of magnet. As the activity shows one can map the magnetic field of magnet by placing it underneath piece of paper and sprinkling iron filings on top. The iron filings line themselves up parallel to the magnetic field. Another tool one can use to find the direction of magnetic field is compass. The compass arrow points in the direction of the field. As already said opposite poles of magnet attract each other and bringing them together causes their magnetic field lines to converge (come together). Like poles of magnet repel each other and bringing them together causes their magnetic field lines to diverge (bend out from each other). Extension: Ferromagnetism and Retentivity Ferromagnetism is phenomenon shown by materials like iron nickel or cobalt. These materials can form permanent magnets. They always magnetise so as to be attracted to magnet no matter which magnetic pole is brought toward the unmagnetised ironnickelcobalt. The ability of ferromagnetic material to retain its magnetisation after an external field is removed is called its retentivity. Paramagnetic materials are materials like aluminium or platinum which become magnetised in an external magnetic field in similar way to ferromagnetic materials. However they lose their magnetism when the external magnetic field is removed. Diamagnetism is shown by materials like copper or bismuth which become mag- netised in magnetic field with polarity opposite to the external magnetic field. Unlike iron they are slightly repelled by magnet. ,Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Strength of materials|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Direction (geometry)|Direction (geometry)|Direction (geometry)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field line|Field line|Field line|Field line|Field line|Field line|Field line|Field line|Compass|Compass
111,111,8.4,The compass and the earth's magnetic field,173,compass is an instrument which is used to find the direction of magnetic field. It can do this because compass consists of small metal needle which is magnetised itself and which is free to turn in any direction. Therefore when in the presence of magnetic field the needle is able to line up in the same direction as the field. Lodestone magnetised form of iron-oxide was found to orientate itself in north-south direction if left free to rotate by suspension on string or on float in water. Lodestone was therefore used as an early navigational compass. Compasses are mainly used in navigation to find direction on the earth. This works because the earth itself has magnetic field which is similar to that of bar magnet (see the picture below). The compass needle aligns with the magnetic field direction and points north (or south). Once you know where north is you can figure out any other direction. picture of compass is shown below: Some animals can detect magnetic fields which helps them orientate themselves and find di- rection. Animals which can do this include pigeons bees Monarch butterflies sea turtles and fish. ,Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Work (physics)|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Compass|Compass|Compass|Compass|Compass|Compass
112,112,8.4.1,The earth's magnetic field,175,In the picture below you can see representation of the earths magnetic field which is very similar to the magnetic field of giant bar magnet like the one on the right of the picture. So the earth has two sets of north poles and south poles: geographic poles and magnetic poles. The earths magnetic field is thought to be caused by churning liquid metals in the core which causes electric currents and magnetic field. From the picture you can see that the direction of magnetic north and true north are not identical. The geographic north pole which is the point through which the earths rotation axis goes is about 115o away from the direction of the magnetic north pole (which is where compass will point). However the magnetic poles shift slightly all the time. Another interesting thing to note is that if we think of the earth as big bar magnet and we know that magnetic field lines always point from north to south then the compass tells us that what we call the magnetic north pole is actually the south pole of the bar magnet The direction of the earths magnetic field flips direction about once every 200 000 years You can picture this as bar magnet whose north and south pole periodically switch sides. The reason for this is still not fully understood. The earths magnetic field is very important for humans and other animals on earth because it stops charged particles emitted by the sun from hitting the earth and us. Charged particles can also damage and cause interference with telecommunications (such as cell phones). Charged particles (mainly protons and electrons) are emitted by the sun in what is called the solar wind and travel towards the earth. These particles spiral in the earths magnetic field towards the poles. If they collide with other particles in the earths atmosphere they sometimes cause red or green lights or glow in the sky which is called the aurora. This happens close to the north and south pole and so we cannot see the aurora from South Africa. ,Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Magnet|Light|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Magnetic field|Electron|Collision|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Magnetism|Electric charge|Electric charge|Electric charge|Direction (geometry)|Direction (geometry)|Direction (geometry)|Direction (geometry)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field (physics)|Field line|Compass|Compass|Electric current
113,113,9,Electrostatics,177,,
114,114,9.1,Introduction,177,Electrostatics is the study of electric charge which is static (not moving). ,Electric charge|Electrostatics
115,115,9.2,Two kinds of charge,177,All objects surrounding us (including people) contain large amounts of electric charge. There are two types of electric charge: positive charge and negative charge. If the same amounts of negative and positive charge are brought together they neutralise each other and there is no net charge. Neutral objects are objects which contain positive and negative charges but in equal numbers. However if there is little bit more of one type of charge than the other on the object then the object is said to be electrically charged. The picture below shows what the distribution of charges might look like for neutral positively charged and negatively charged object. There are: positive charges and negative charges (-6) There is zero net charge: The object is neutral positive charges and negative charges (-6) The net charge is +2 The object is positively charged positive charges and negative charges (-9) -3 The net charge is -3 The object is negatively charged ,Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge
116,116,9.3,Unit of charge,177,Charge is measured in units called coulombs (C). coulomb of charge is very large charge. In electrostatics we therefore often work with charge in microcoulombs (1 106 C) and nanocoulombs (1 nC 109 C). ,Coulomb|Coulomb|Coulomb|Coulomb|Work (physics)|Electric charge|Electric charge|Electric charge|Electric charge|Electrostatics
117,117,9.4,Conservation of charge,177,Objects can become charged by contact or by rubbing them. This means that they can gain extra negative or positive charge. Charging happens when you for example rub your feet against the carpet. When you then touch something metallic or another person you will feel shock as the excess charge that you have collected is discharged. Important: Charge just like energy cannot be created or destroyed. We say that charge is conserved. When you rub your feet against the carpet negative charge is transferred to you from the carpet. The carpet will then become positively charged by the same amount. Another example is to take two neutral objects such as plastic ruler and cotton cloth (handkerchief). To begin the two objects are neutral (i.e. have the same amounts of positive and negative charge.) +- +- +- +- -+- +- The ruler has postive charges and The neutral cotton cloth has positive charges and negative charges The total number of charges is: (9+5)14 positive charges (9+5)14 negative charges negative charges BEFORE rubbing: Now if the cotton cloth is used to rub the ruler negative charge is transferred from the cloth to the ruler. The ruler is now negatively charged and the cloth is positively charged. If you count up all the positive and negative charges at the beginning and the end there are still the same amount. i.e. total charge has been conserved +- +- +- +- -+- +- The ruler has postive charges and The cotton cloth has positive charges and negative charges. The total number of charges is: (9+5)14 positive charges (12+2)14 negative charges 12 negative charges AFTER rubbing: It is now positively charged. ,Plasticity (physics)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Position (vector)|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Electric charge|Energy
