,topic_a,topic_b,relation
852,Position (vector),Physical quantity,0
853,Fracture,Magnet,0
854,Motion,Speed,0
855,Elasticity (physics),Force,1
856,Absorption spectroscopy,Frequency,1
857,Gravity,Acceleration,0
858,Mass,Gravitational acceleration,0
859,Equations of motion,Velocity,1
860,Electric current,Magnetic field,0
861,Force,Magnetism,0
862,Electric potential energy,Displacement (vector),1
863,Force,Gravity,0
864,Electromagnetic spectrum,Electric current,1
865,Relative velocity,Distance,1
866,Wave,Emission spectrum,0
867,Electrical conductor,Physics,1
868,Joule,Potential energy,0
869,Wave,Velocity,0
870,Emission spectrum,Electron,1
871,Force,Normal force,0
872,Electric current,Series and parallel circuits,0
873,Ray (optics),Wavelength,0
874,Lever,Power (physics),0
875,Transverse wave,Wave,1
876,Frame of reference,Inertial frame of reference,0
877,Refraction,Refracting telescope,0
878,Euclidean vector,Work (physics),0
879,Intensity (physics),Refractive index,0
880,Electrical polarity,Force,0
881,Electron,Scattering,0
882,Displacement (vector),Motion,1
883,Force,Electric current,0
884,Refracting telescope,Virtual image,0
885,Distance,Displacement (vector),0
886,Electromagnetic radiation,Physics,1
887,Joule,Kilogram,0
888,Ray (optics),Total internal reflection,0
889,Wave,Snell's law,0
890,Inelastic collision,Kinetic energy,1
891,Wave,Transmission medium,0
892,Geometrical optics,Real image,0
893,Acceleration,Projectile motion,0
894,Speed,Dispersion (optics),0
895,Light,Dispersion (optics),0
896,Velocity,Planet,0
897,Work (physics),Power (physics),0
898,Mass,Projectile motion,0
899,Electrical conductor,Insulator (electricity),0
900,Electric potential energy,Electrostatics,0
901,Friction,Potential energy,0
902,Hardness,Force,1
903,Electric field,Absorption spectroscopy,0
904,Physics,Refraction,0
905,Relative velocity,Elastic collision,0
906,Geometrical optics,Virtual image,0
907,Physics,Creep (deformation),0
908,Geometrical optics,Refractive index,0
909,Magnetic field,Planet,0
910,Electromagnetic radiation,Le Sage's theory of gravitation,0
911,Newton's law of universal gravitation,Energy,0
912,Relative velocity,Speed,1
913,Snell's law,Electromagnetic radiation,0
914,Reflection (physics),Wave,1
915,Acceleration,Tension (physics),0
916,Force,Strength of materials,0
917,Joule,Electrostatics,0
918,Capacitance,Planet,0
919,Magnetic field,Metre,0
920,Snell's law,Reflection (physics),0
921,Voltage,Hertz,0
922,Potential energy,Velocity,0
923,Hooke's law,Physics,1
924,Light,Transverse wave,0
925,Electrical resistance and conductance,Length,0
926,Interference (wave propagation),Laser,0
927,Energy,Electron,0
928,Wave,Hertz,0
929,Euclidean vector,Field (physics),0
930,Projectile motion,Free fall,0
931,Photoelectric effect,Amplitude,0
932,Electrostatics,Position (vector),1
933,Shock wave,Rarefaction,0
934,Emission spectrum,Energy,1
935,Magnet,Temperature,0
936,Elasticity (physics),Temperature,0
937,Wave,Crest (physics),0
938,Capacitance,Potential energy,0
939,Rarefaction,Mass,0
940,Collision,Velocity,0
941,Light,Optical microscope,0
942,Force,Power (physics),0
943,Potential energy,Gravitational field,0
944,Speed,Position (vector),0
945,Physics,Plasticity (physics),0
946,Gravity of Earth,Velocity,1
947,Hooke's law,Kilogram,0
948,Ray (optics),Specular reflection,0
949,Inertial frame of reference,Force,0
950,Torque,Velocity,0
951,Friction,Work (physics),0
952,Motion graphs and derivatives,Distance,1
953,Diffraction,Refractive index,0
954,Motion,Doppler effect,0
955,Free fall,Velocity,1
956,Refractive index,Electromagnetic radiation,0
957,Ohm,Metre,0
958,Electric potential energy,Voltage,0
959,Magnetic field,Electric field,0
960,Distance,Le Sage's theory of gravitation,0
961,Dielectric,Specular reflection,0
962,Magnetic field,Mechanical energy,0
963,Mechanical energy,Physics,1
964,Physics,Sound intensity,0
965,Mass,Field (physics),0
966,Frequency,Wavelength,0
967,Position (vector),Mass,0
968,Projectile motion,Physics,1
969,Torque,Power (physics),0
970,Electromagnetic radiation,Coulomb's law,1
971,Interference (wave propagation),Kilogram,0
972,Wave,Rarefaction,0
973,Amplitude,Electric field,0
974,Angle of incidence,Specular reflection,0
975,Electromagnetic radiation,Electric current,1
976,Position (vector),Displacement (vector),0
977,Energy,Photoelectric effect,0
978,Gravitational acceleration,Speed,1
979,Position (vector),Distance,0
980,Hooke's law,Creep (deformation),0
981,Absorption spectroscopy,Length,0
982,Kinetic energy,Inelastic collision,0
983,Velocity,Gravitational acceleration,0
984,Inertial frame of reference,Elastic collision,0
985,Physics,Frame of reference,0
986,Magnet,Field line,0
987,Hooke's law,Amplitude,0
988,Coulomb's law,Electric potential,0
989,Physics,Elasticity (physics),0
990,Ohm's law,Series and parallel circuits,0
991,Mass,Mechanical energy,0
992,Field line,Mass,0
993,Telescope,Electromagnetic spectrum,0
994,Newton's laws of motion,Motion,1
995,Refractive index,Optical microscope,0
996,Inertial frame of reference,Distance,1
997,Mass,Free fall,0
998,Electric current,Electromagnetic spectrum,0
999,Displacement (vector),Motion graphs and derivatives,0
1000,Collision,Inelastic collision,0
1001,Motion,Relative velocity,0
1002,Electromagnetic radiation,Voltage,0
1003,Photoelectric effect,Physics,1
1004,Wave,Wavelength,0
1005,Magnet,Magnetism,0
1006,Temperature,Force,0
1007,Acceleration,Potential energy,0
1008,Electrical resistance and conductance,Temperature,0
1009,Light,Electromagnetic spectrum,0
1010,Shock wave,Temperature,0
1011,Physics,Potential energy,0
1012,Refractive index,Transverse wave,0
1013,Refractive index,Real image,0
1014,Frequency,Absorption spectroscopy,0
1015,Field (physics),Gravitational field,0
1016,Wave,Gravitational field,0
1017,Dielectric,Insulator (electricity),1
1018,Speed,Energy,0
1019,Potential energy,Physics,1
1020,Electric field,Electromagnetic radiation,0
1021,Contact force,Friction,0
1022,Electric potential,Displacement (vector),1
1023,Electromagnetic spectrum,Field (physics),1
1024,Sonic boom,Shock wave,0
1025,Physics,Photoelectric effect,0
1026,Specular reflection,Distance,0
1027,Le Sage's theory of gravitation,Motion,1
1028,Capacitance,Electric charge,1
1029,Energy,Distance,0
1030,Energy,Gravitational field,0
1031,Energy,Refraction,0
1032,Refractive index,Dispersion (optics),0
1033,Electric field,Energy,1
1034,Non-inertial reference frame,Force,0
1035,Electromagnetic spectrum,Energy,1
1036,Electric potential,Electric field,1
1037,Euclidean vector,Scalar (mathematics),0
1038,Voltage,Energy,0
1039,Coulomb's law,Electromagnetic radiation,0
1040,Electric field,Distance,0
1041,Speed,Temperature,0
1042,Distance,Potential energy,0
1043,Speed,Relative velocity,0
1044,Emission spectrum,Force,1
1045,Electromagnetic radiation,Energy level,0
1046,Electric potential,Euclidean vector,1
1047,Tension (physics),Potential energy,0
1048,Le Sage's theory of gravitation,Planet,0
1049,Voltage,Ohm's law,0
1050,Lever,Work (physics),0
1051,Work (physics),Mechanical energy,0
1052,Work (physics),Length,0
1053,Amplitude,Geometrical optics,0
1054,Hooke's law,Tension (physics),0
1055,Field line,Gravitational field,0
1056,Magnetism,Voltage,0
1057,Photoelectric effect,Electromagnetic spectrum,0
1058,Light,Total internal reflection,0
1059,Electromagnetic radiation,Frequency,0
1060,Electrostatics,Coulomb,0
1061,Electrical conductor,Capacitance,0
1062,Wavelength,Standing wave,0
1063,Force,Coulomb,0
1064,Gravitational field,Force,1
1065,Wave,Specular reflection,0
1066,Gravitational acceleration,Acceleration,1
1067,Speed,Doppler effect,0
1068,Direction (geometry),Distance,0
1069,Physics,Electrostatics,0
1070,Physics,Magnetism,0
1071,Wavelength,Emission spectrum,0
1072,Magnetic field,Equations of motion,0
1073,Frequency,Emission spectrum,0
1074,Elasticity (physics),Potential energy,0
1075,Electric potential,Potential energy,1
1076,Le Sage's theory of gravitation,Temperature,0
1077,Laser,Physics,0
1078,Physics,Normal force,0
1079,Electron,Velocity,0
1080,Direction (geometry),Euclidean vector,0
1081,Electric current,Insulator (electricity),0
1082,Physics,Equations of motion,0
1083,Acceleration,Normal force,0
1084,Strength of materials,Physics,1
1085,Motion,Electric potential,0
1086,Work (physics),Kilogram,0
1087,Collision,Elastic collision,0
1088,Potential energy,Kinetic energy,0
1089,Physics,Newton's laws of motion,0
1090,Mechanical energy,Velocity,1
1091,Capacitance,Force,0
1092,Speed,Mechanical energy,0
1093,Electromotive force,Field (physics),1
1094,Scattering,Energy,0
1095,Field line,Velocity,0
1096,Physics,Strength of materials,0
1097,Interference (wave propagation),Length,0
1098,Fatigue (material),Strength of materials,0
1099,Lever,Distance,0
1100,Electromagnetic radiation,Field (physics),1
1101,Voltage,Electron,0
1102,Distance,Work (physics),0
1103,Refraction,Refractive index,0
1104,Wavelength,Amplitude,0
1105,Elasticity (physics),Fatigue (material),0
1106,Coulomb's law,Force,0
1107,Potential energy,Elastic collision,0
1108,Elastic collision,Speed,1
1109,Newton's law of universal gravitation,Coulomb's law,0
1110,Joule,Voltage,0
1111,Relative velocity,Motion,1
1112,Electromagnetic spectrum,Length,0
1113,Electric potential,Mass,0
1114,Free fall,Force,1
1115,Pigment,Subtractive color,0
1116,Gravitational field,Gravity,1
1117,Strength of materials,Fracture,1
1118,Collision,Distance,0
1119,Wave,Speed,0
1120,Electric potential energy,Coulomb's law,1
1121,Electric potential,Electron,0
1122,Mass,Planet,0
1123,Electric potential energy,Euclidean vector,1
1124,Refractive index,Length,0
1125,Electric potential,Electric potential energy,1
1126,Gravity of Earth,Mass,1
1127,Dielectric,Dispersion (optics),0
1128,Acceleration,Distance,1
1129,Crest (physics),Wave,1
1130,Wave,Sonic boom,0
1131,Diffraction,Electron,0
1132,Displacement (vector),Euclidean vector,1
1133,Field line,Capacitance,0
1134,Displacement (vector),Electric potential energy,0
1135,Stiffness,Physics,1
1136,Geometrical optics,Diffraction,0
1137,Mass,Coulomb,0
1138,Collision,Physics,1
1139,Magnetism,Energy,0
1140,Refractive index,Energy,0
1141,Shock wave,Speed,1
1142,Position (vector),Motion graphs and derivatives,0
1143,Gravity,Normal force,0
1144,Equations of motion,Speed,1
1145,Newton's laws of motion,Kilogram,0
1146,Dispersion (optics),Wave,1
1147,Physics,Inelastic collision,0
1148,Newton's laws of motion,Force,1
1149,Physics,Gravitational constant,0
1150,Plasticity (physics),Fatigue (material),0
1151,Friction,Mechanical energy,0
1152,Motion,Gravity,0
1153,Normal force,Contact force,1
1154,Electrostatics,Displacement (vector),1
1155,Free fall,Distance,1
1156,Refractive index,Total internal reflection,0
1157,Voltage,Potential energy,0
1158,Wave,Equations of motion,0
1159,Huygens–Fresnel principle,Frequency,0
1160,Newton's law of universal gravitation,Mass,0
1161,Snell's law,Length,0
1162,Electric field,Potential energy,0
1163,Electron,Energy,0
1164,Electromagnetic radiation,Electromagnetic spectrum,0
1165,Acceleration,Kilogram,0
1166,Physics,Magnetic field,0
1167,Motion,Field (physics),0
1168,Acceleration,Gravitational acceleration,0
1169,Acceleration,Magnetic field,0
1170,Plane mirror,Ray (optics),0
1171,Motion,Electric potential energy,0
1172,Hardness,Stiffness,0
1173,Electron,Photoelectric effect,0
1174,Electrostatics,Physics,1
1175,Gravitational acceleration,Potential energy,0
1176,Non-inertial reference frame,Inertial frame of reference,0
1177,Light,Metre,0
1178,Force,Equations of motion,0
1179,Hertz,Wavelength,0
1180,Huygens–Fresnel principle,Wavelength,0
1181,Electron,Magnet,0
1182,Doppler effect,Motion,1
1183,Energy,Hooke's law,0
1184,Gravity of Earth,Speed,1
1185,Friction,Free body diagram,0
1186,Electron,Inelastic collision,0
1187,Emission spectrum,Mass,0
1188,Hardness,Strength of materials,1
1189,Refractive index,Physics,1
1190,Dispersion (optics),Velocity,0
1191,Hooke's law,Energy,0
1192,Angle of incidence,Plane mirror,0
1193,Amplitude,Electric current,0
1194,Euclidean vector,Equations of motion,0
1195,Physics,Tension (physics),0
1196,Free fall,Speed,1
1197,Gravity of Earth,Non-inertial reference frame,0
1198,Force,Electric potential,0
1199,Motion,Refractive index,0
1200,Elastic collision,Potential energy,0
1201,Voltage,Electrostatics,0
1202,Magnetic field,Electrostatics,0
1203,Electron,Electrical resistance and conductance,0
1204,Hertz,Frequency,1
1205,Displacement (vector),Mechanical energy,0
1206,Energy,Electric field,0
1207,Wave,Scattering,0
1208,Potential energy,Force,1
1209,Mass,Physics,1
1210,Magnetic field,Emission spectrum,0
1211,Speed,Gravitational field,0
1212,Mirror image,Plane mirror,1
1213,Normal force,Friction,0
1214,Physics,Sonic boom,0
1215,Electric field,Electroscope,0
1216,Dielectric,Torque,0
1217,Friction,Lever,0
1218,Refraction,Diffraction,0
1219,Physics,Dispersion (optics),0
1220,Equations of motion,Gravity,0
1221,Hardness,Fracture,1
1222,Electrical resistance and conductance,Joule,0
1223,Plane mirror,Mirror image,0
1224,Scalar multiplication,Position (vector),0
1225,Field (physics),Electric field,0
1226,Ohm's law,Magnetic field,0
1227,Energy,Length,0
1228,Electromagnetic spectrum,Frequency,1
1229,Potential energy,Length,0
1230,Elastic collision,Motion,1
1231,Euclidean vector,Velocity,0
1232,Hertz,Electromagnetic radiation,0
1233,Motion,Motion graphs and derivatives,0
1234,Electron,Electrical polarity,0
1235,Electric field,Field (physics),1
1236,Position (vector),Work (physics),0
1237,Electromagnetic radiation,Absorption spectroscopy,0
1238,Motion,Potential energy,0
1239,Interference (wave propagation),Optical microscope,0
1240,Light,Geometrical optics,0
1241,Potential energy,Position (vector),1
1242,Speed,Inertial frame of reference,0
1243,Curved mirror,Laser,0
1244,Potential energy,Motion,1
1245,Emission spectrum,Absorption spectroscopy,0
1246,Distance,Projectile motion,0
1247,Photoelectric effect,Length,0
1248,Photoelectric effect,Frequency,0
1249,Transverse wave,Equations of motion,0
1250,Acceleration,Friction,0
1251,Transmission medium,Physics,1
1252,Light,Specular reflection,0
1253,Inelastic collision,Energy,1
1254,Physics,Mirror image,0
1255,Gravity of Earth,Distance,1
1256,Distance,Shock wave,0
1257,Length,Hooke's law,0
1258,Electron,Optical microscope,0
1259,Wave,Potential energy,0
1260,Rarefaction,Physics,1
1261,Physics,Standing wave,0
1262,Electric field,Dielectric,0
1263,Hooke's law,Force,1
1264,Power (physics),Length,0
1265,Speed,Displacement (vector),0
1266,Reflection (physics),Light,1
1267,Laser,Dispersion (optics),0
1268,Acceleration,Newton's laws of motion,0
1269,Series and parallel circuits,Voltage,1
1270,Angle of incidence,Refractive index,0
1271,Coulomb's law,Electromotive force,0
1272,Gravitational field,Normal force,0
1273,Coulomb's law,Field (physics),0
1274,Light,Ray (optics),0
1275,Contact force,Normal force,0
1276,Electric potential,Energy,1
1277,Hooke's law,Electric field,0
1278,Distance,Gravitational acceleration,0
1279,Voltage,Free fall,0
1280,Elastic collision,Velocity,1
1281,Mechanical energy,Mass,1
1282,Force,Metre,0
1283,Wave,Field (physics),0
1284,Refraction,Velocity,0
1285,Motion graphs and derivatives,Motion,1
1286,Refracting telescope,Gravity,0
1287,Sound,Sonic boom,0
1288,Lever,Velocity,0
1289,Electron,Collision,0
1290,Optical microscope,Wavelength,0
1291,Coulomb,Electromotive force,0
1292,Insulator (electricity),Electric current,1
1293,Magnet,Wave,0
1294,Interference (wave propagation),Distance,0
1295,Magnetic field,Tangential and normal components,0
1296,Projectile motion,Force,1
1297,Torque,Force,1
1298,Wave,Electric field,0
1299,Gravitational field,Gravity of Earth,0
1300,Friction,Energy,0
1301,Joule,Mass,0
1302,Electric potential energy,Distance,1
1303,Acceleration,Length,0
1304,Field (physics),Electromagnetic radiation,0
1305,Acceleration,Gravity of Earth,0
1306,Electron,Mass,0
1307,Dielectric,Distance,0
1308,Electron,Telescope,0
1309,Voltmeter,Electroscope,0
1310,Euclidean vector,Mechanical energy,0
1311,Electron,Coulomb,0
1312,Hardness,Crystallinity,0
1313,Electron,Electric current,0
1314,Euclidean vector,Physics,0
1315,Projectile motion,Acceleration,1
1316,Euclidean vector,Potential energy,0
1317,Standing wave,Wavelength,1
1318,Gravity of Earth,Metre,0
1319,Series and parallel circuits,Electric current,1
1320,Field line,Force,0
1321,Energy level,Diffraction,0
1322,Electrical resistance and conductance,Ohmmeter,0
1323,Speed,Gravitational acceleration,0
1324,Physics,Specular reflection,0
1325,Electromagnetic spectrum,Absorption spectroscopy,1
1326,Work (physics),Metre,0
1327,Electrical conductor,Electric field,0
1328,Voltage,Electromagnetic spectrum,0
1329,Deformation (engineering),Force,1
1330,Voltmeter,Amplitude,0
1331,Snell's law,Refracting telescope,0
1332,Distance,Contact force,0
1333,Mechanical energy,Energy,1
1334,Refractive index,Motion,1
1335,Voltage,Equations of motion,0
1336,Speed,Transverse wave,0
1337,Dielectric,Electric current,1
1338,Tension (physics),Contact force,0
1339,Euclidean vector,Displacement (vector),0
1340,Electric current,Power (physics),0
1341,Scattering,Laser,0
1342,Magnet,Mechanical energy,0
1343,Free fall,Position (vector),1
1344,Magnification,Optical microscope,0
1345,Wave,Standing wave,0
1346,Electromagnetic radiation,Diffraction,0
1347,Electron,Physics,0
1348,Geometrical optics,Wavelength,0
1349,Intensity (physics),Electric field,0
1350,Velocity,Relative velocity,0
1351,Plane mirror,Geometrical optics,0
1352,Newton's law of universal gravitation,Planet,0
1353,Electromagnetic radiation,Electron,1
1354,Magnetism,Temperature,0
1355,Acceleration,Force,1
1356,Strength of materials,Deformation (engineering),1
1357,Physics,Force,0
1358,Crest (physics),Amplitude,0
1359,Electric current,Emission spectrum,0
1360,Energy,Work (physics),0
1361,Hardness,Plasticity (physics),1
1362,Force,Gravitational acceleration,0
1363,Electric potential energy,Potential energy,1
1364,Field (physics),Electric potential,0
1365,Standing wave,Physics,1
1366,Sound intensity,Intensity (physics),1
1367,Relative velocity,Inertial frame of reference,0
1368,Force,Acceleration,0
1369,Mass,Gravity,0
1370,Distance,Wavelength,0
1371,Refracting telescope,Wavelength,0
1372,Le Sage's theory of gravitation,Distance,1
1373,Telescope,Refracting telescope,0
1374,Euclidean vector,Electric potential,0
1375,Energy,Kilogram,0
1376,Strength of materials,Elasticity (physics),1
1377,Gravitational acceleration,Distance,1
1378,Elastic collision,Force,1
1379,Electric potential,Field (physics),1
1380,Photoelectric effect,Force,0
1381,Field (physics),Electromagnetic spectrum,0
1382,Physics,Acceleration,0
1383,Ohm,Power (physics),0
1384,Friction,Collision,0
1385,Work (physics),Electric potential energy,0
1386,Physics,Speed,0
1387,Sonic boom,Temperature,0
1388,Magnetic field,Refractive index,0
1389,Dielectric,Refractive index,0
1390,Magnetic field,Force,1
1391,Field (physics),Velocity,0
1392,Gravitational acceleration,Gravitational field,0
1393,Euclidean vector,Electric potential energy,0
1394,Electron,Wavelength,0
1395,Magnet,Compass,0
1396,Magnet,Distance,0
1397,Work (physics),Displacement (vector),1
1398,Free fall,Acceleration,1
1399,Potential energy,Electric potential,0
1400,Work (physics),Energy,1
1401,Energy,Reflection (physics),0
1402,Potential energy,Kilogram,0
1403,Refraction,Frequency,0
1404,Motion,Work (physics),0
1405,Velocity,Force,0
1406,Force,Electromagnetic spectrum,0
1407,Emission spectrum,Wave,1
1408,Acceleration,Sonic boom,0
1409,Photoelectric effect,Laser,0
1410,Electron,Force,0
1411,Electrical resistance and conductance,Series and parallel circuits,0
1412,Force,Free fall,0
1413,Hooke's law,Metre,0
1414,Interference (wave propagation),Refractive index,0
1415,Work (physics),Electric potential,0
1416,Gravity of Earth,Acceleration,1
1417,Virtual image,Light,1
1418,Speed,Euclidean vector,0
1419,Motion,Displacement (vector),0
1420,Electrostatics,Field (physics),1
1421,Magnetic field,Electromagnetic radiation,0
1422,Gravitational acceleration,Velocity,1
1423,Friction,Euclidean vector,0
1424,Position (vector),Gravitational acceleration,0
1425,Wave,Shock wave,0
1426,Electron,Temperature,0
1427,Non-inertial reference frame,Physics,1
1428,Refraction,Transmission medium,0
1429,Displacement (vector),Relative velocity,0
1430,Transverse wave,Electromagnetic spectrum,0
1431,Mass,Force,0
1432,Hertz,Musical tone,0
1433,Refraction,Wavelength,0
1434,Equations of motion,Euclidean vector,1
1435,Inertial frame of reference,Motion,1
1436,Electron,Laser,0
1437,Energy,Electromagnetic spectrum,0
1438,Refraction,Physics,1
1439,Le Sage's theory of gravitation,Physics,1
1440,Mirror image,Light,1
1441,Newton's law of universal gravitation,Field (physics),0
1442,Sound intensity,Force,1
1443,Force,Friction,0
1444,Frequency,Hertz,0
1445,Electric field,Electrostatics,0
1446,Hardness,Physics,1
1447,Motion,Physics,1
1448,Absorption spectroscopy,Wave,1
1449,Magnetic field,Electron,0
1450,Potential energy,Distance,1
1451,Torque,Metre,0
1452,Crest (physics),Geometrical optics,0
1453,Power (physics),Sound intensity,0
1454,Ammeter,Metre,0
1455,Energy level,Frequency,0
1456,Electric potential,Work (physics),1
1457,Mass,Torque,0
1458,Elastic collision,Mass,1
1459,Equations of motion,Acceleration,1
1460,Sonic boom,Distance,0
1461,Absorption spectroscopy,Physics,1
1462,Energy,Wave,0
1463,Physics,Mass,0
1464,Force,Electromotive force,0
1465,Photoelectric effect,Energy,1
1466,Refractive index,Metre,0
1467,Sound intensity,Power (physics),1
1468,Emission spectrum,Coulomb's law,1
1469,Electric field,Electromotive force,0
1470,Force,Wave,0
1471,Force,Planet,0
1472,Force,Gravitational field,0
1473,Interference (wave propagation),Telescope,0
1474,Velocity,Acceleration,0
1475,Light,Virtual image,0
1476,Acceleration,Frame of reference,0
1477,Interference (wave propagation),Physics,1
1478,Electrostatics,Distance,1
1479,Laser,Optical microscope,0
1480,Field (physics),Electric potential energy,0
1481,Speed,Free fall,0
1482,Energy,Velocity,0
1483,Speed,Le Sage's theory of gravitation,0
1484,Frame of reference,Force,0
1485,Electron,Light,0
1486,Force,Intensity (physics),0
1487,Force,Field (physics),0
1488,Gravity of Earth,Position (vector),1
1489,Specular reflection,Plane mirror,0
1490,Insulator (electricity),Electrostatics,0
1491,Acceleration,Position (vector),1
1492,Intensity (physics),Electromagnetic radiation,0
1493,Electrical resistance and conductance,Distance,0
1494,Shock wave,Refraction,0
1495,Rarefaction,Transmission medium,0
1496,Shock wave,Distance,1
1497,Force,Electric potential energy,0
1498,Geometrical optics,Total internal reflection,0
1499,Plasticity (physics),Physics,1
1500,Electric potential energy,Work (physics),1
1501,Electrical resistance and conductance,Electric current,1
1502,Magnetic field,Field (physics),1
1503,Pigment,Light,0
1504,Force,Work (physics),0
1505,Motion,Non-inertial reference frame,0
1506,Ray (optics),Virtual image,0
1507,Color,Pigment,0
1508,Elasticity (physics),Physics,1
1509,Sonic boom,Length,0
1510,Gravitational constant,Force,1
1511,Amplitude,Dispersion (optics),0
1512,Motion graphs and derivatives,Position (vector),1
1513,Equations of motion,Physics,1
1514,Electromagnetic radiation,Refraction,0
1515,Light,Emission spectrum,0
1516,Magnetic field,Electromotive force,0
1517,Sound intensity,Energy,1
1518,Physics,Gravity of Earth,0
1519,Position (vector),Mechanical energy,0
1520,Acceleration,Electron,0
1521,Distance,Electrostatics,0
1522,Motion,Gravitational acceleration,0
1523,Mass,Normal force,0
1524,Electromotive force,Ohm's law,0
1525,Voltmeter,Electric potential,0
1526,Electric potential energy,Joule,0
1527,Dispersion (optics),Wavelength,0
1528,Electric potential,Distance,1
1529,Fracture,Light,0
1530,Friction,Kinetic energy,0
1531,Transverse wave,Ray (optics),0
1532,Magnetic field,Field line,0
1533,Frame of reference,Physics,1
1534,Gravitational constant,Gravity,1
1535,Strength of materials,Plasticity (physics),1
1536,Physics,Torque,0
1537,Newton's law of universal gravitation,Gravity,1
1538,Photoelectric effect,Electron,1
1539,Newton's laws of motion,Equations of motion,0
1540,Motion,Free fall,0
1541,Electrical resistance and conductance,Voltage,1
1542,Motion,Frame of reference,0
1543,Light,Inertial frame of reference,0
1544,Velocity,Motion,1
1545,Fatigue (material),Physics,1
1546,Dispersion (optics),Length,0
1547,Emission spectrum,Energy level,1
1548,Gravitational field,Field (physics),1
1549,Force,Electromagnetic radiation,0
1550,Velocity,Motion graphs and derivatives,0
1551,Collision,Force,1
1552,Intensity (physics),Photoelectric effect,0
1553,Frequency,Electromagnetic spectrum,0
1554,Joule,Kinetic energy,0
1555,Power (physics),Force,1
1556,Standing wave,Interference (wave propagation),1
1557,Electrical resistance and conductance,Force,0
1558,Newton's laws of motion,Inertial frame of reference,0
1559,Euclidean vector,Normal force,0
1560,Displacement (vector),Gravitational acceleration,0
1561,Friction,Gravity,0
1562,Electron,Coulomb's law,0
1563,Electric field,Magnetism,0
1564,Reflection (physics),Mirror image,0
1565,Hooke's law,Lever,0
1566,Electric potential,Kilogram,0
1567,Interference (wave propagation),Electromagnetic radiation,0
1568,Frame of reference,Mass,0
1569,Energy level,Electron,0
1570,Euclidean vector,Torque,0
1571,Motion,Le Sage's theory of gravitation,0
1572,Telescope,Mass,0
1573,Laser,Diffraction,0
1574,Friction,Contact force,1
1575,Gravity of Earth,Displacement (vector),1
1576,Refractive index,Force,0
1577,Laser,Light,1
1578,Speed,Newton's law of universal gravitation,0
1579,Newton's law of universal gravitation,Distance,1
1580,Displacement (vector),Stiffness,0
1581,Inelastic collision,Collision,1
1582,Diffraction,Physics,1
1583,Electric field,Equations of motion,0
1584,Inelastic collision,Friction,0
1585,Velocity,Projectile motion,0
1586,Reflection (physics),Diffraction,0
1587,Scattering,Light,0
1588,Equations of motion,Position (vector),1
1589,Dielectric,Electric field,1
1590,Temperature,Field (physics),0
1591,Energy,Le Sage's theory of gravitation,0
1592,Magnet,Electromagnetic radiation,0
1593,Electric field,Emission spectrum,0
1594,Scattering,Wave,1
1595,Potential energy,Mechanical energy,0
1596,Electrical conductor,Electromagnetic radiation,0
1597,Position (vector),Projectile motion,0
1598,Gravity of Earth,Potential energy,0
1599,Friction,Speed,0
1600,Wave,Refraction,0
1601,Magnetic field,Transverse wave,0
1602,Friction,Dielectric,0
1603,Emission spectrum,Temperature,0
1604,Interference (wave propagation),Wave,1
1605,Insulator (electricity),Electrical resistance and conductance,0
1606,Emission spectrum,Electromagnetic radiation,1
1607,Work (physics),Motion,1
1608,Mechanical energy,Motion,1
1609,Mass,Potential energy,0
1610,Hooke's law,Scalar (mathematics),0
1611,Frame of reference,Non-inertial reference frame,0
1612,Kinetic energy,Energy,1
1613,Elasticity (physics),Stiffness,0
1614,Doppler effect,Velocity,1
1615,Dispersion (optics),Physics,1
1616,Electrostatics,Potential energy,1
1617,Electron,Wave,0
1618,Work (physics),Torque,0
1619,Hardness,Energy,0
1620,Mechanical energy,Distance,1
1621,Displacement (vector),Gravity of Earth,0
1622,Shock wave,Mass,0
1623,Snell's law,Refraction,1
1624,Magnification,Reflection (physics),0
1625,Mechanical energy,Collision,0
1626,Acceleration,Inertial frame of reference,0
1627,Magnetism,Coulomb's law,0
1628,Position (vector),Gravity of Earth,0
1629,Electron,Hertz,0
1630,Energy,Kinetic energy,0
1631,Magnet,Kilogram,0
1632,Amplitude,Interference (wave propagation),0
1633,Distance,Snell's law,0
1634,Sound intensity,Sound,1
1635,Amplitude,Snell's law,0
1636,Speed,Normal force,0
1637,Scalar (mathematics),Scalar multiplication,0
1638,Deformation (engineering),Physics,1
1639,Tension (physics),Force,1
1640,Electron,Angle of incidence,0
1641,Sonic boom,Doppler effect,0
1642,Work (physics),Force,1
1643,Temperature,Kinetic energy,0
1644,Huygens–Fresnel principle,Amplitude,1
1645,Electron,Insulator (electricity),0
1646,Newton's law of universal gravitation,Gravitational acceleration,0
1647,Interference (wave propagation),Velocity,0
1648,Frequency,Wave,0
1649,Joule,Capacitance,0
1650,Electric potential energy,Electron,0
1651,Velocity,Physics,1
1652,Magnetism,Compass,0
1653,Gravity,Free fall,0
1654,Angle of incidence,Snell's law,0
1655,Reflection (physics),Plane mirror,0
1656,Refractive index,Electromagnetic spectrum,0
1657,Magnet,Voltage,0
1658,Euclidean vector,Distance,0
1659,Distance,Inertial frame of reference,0
1660,Acceleration,Gravitational field,0
1661,Elasticity (physics),Deformation (engineering),1
1662,Wave,Refractive index,0
1663,Physics,Gravitational field,0
1664,Real image,Virtual image,0
1665,Virtual image,Length,0
