,topic_a,topic_b,relation
818,Factorization,Arithmetic,1
819,Mathematics,Constant function,0
820,Differential equation,Equation,1
821,Multiplication,Real line,0
822,Natural number,Rational number,0
823,Square root,Inverse trigonometric functions,0
824,Square root,Algebra,1
825,Line (geometry),Vertical line test,0
826,Number,Equation solving,0
827,Fundamental theorem of algebra,Addition,1
828,Basis (linear algebra),Algebra,1
829,Synthetic division,Number,1
830,Polynomial,Partial fraction decomposition,0
831,Function (mathematics),Zero of a function,0
832,Rational root theorem,Integer,1
833,Base (exponentiation),Binary logarithm,0
834,Partial fraction decomposition,Mathematics,1
835,Imaginary number,Square (algebra),0
836,Parallel (geometry),Slope,0
837,Algebra,Algebraic operation,0
838,Exponentiation,Natural number,0
839,Interval (mathematics),Analytic geometry,0
840,Absolute value,Number,1
841,Eccentricity (mathematics),Cone,1
842,Mathematics,Trigonometric functions,0
843,Zero (complex analysis),Number,1
844,Multiplication,Equation,0
845,Arithmetic,Base (exponentiation),0
846,Linear function,Function (mathematics),1
847,Division (mathematics),Polynomial long division,0
848,Addition,Geometry,0
849,Linear equation,Real number,0
850,Inequality (mathematics),Linear inequality,0
851,Mathematics,Conic section,0
852,Equation,Real number,0
853,Set (mathematics),Empty set,0
854,Cartesian coordinate system,Mathematics,1
855,Exponential function,Identity (mathematics),0
856,Exponential growth,Exponentiation,1
857,Piecewise,Function (mathematics),1
858,Quadratic formula,Multiplication,1
859,Scalar multiplication,Vector (mathematics and physics),1
860,Degree of a polynomial,Synthetic division,0
861,Inequality (mathematics),Algebra,1
862,Equation solving,Rational root theorem,0
863,Geometry,Closed set,0
864,Prime number,Floor and ceiling functions,0
865,Parallel (geometry),Mathematics,1
866,Addition,Division (mathematics),0
867,Matrix ring,Matrix (mathematics),1
868,Sign (mathematics),Real number,0
869,Simultaneous equations,Equality (mathematics),1
870,Real number,Number,1
871,Complex number,Natural logarithm,0
872,Line (geometry),Right triangle,0
873,Inverse function,Function (mathematics),1
874,Degree of a polynomial,Integer,1
875,Number,Quadratic equation,0
876,Degree of a polynomial,Multiplicative inverse,0
877,Constant function,Slope,0
878,Rotation of axes,Number,1
879,Cartesian coordinate system,Geometry,1
880,Negative number,Rational number,0
881,Exponentiation,Scientific notation,0
882,Summation,Empty sum,0
883,Real number,Zero (complex analysis),0
884,Common logarithm,Scientific notation,0
885,Extended real number line,Number,1
886,Pythagorean trigonometric identity,Mathematics,1
887,Real number,Square root,0
888,Closed set,Set (mathematics),1
889,Addition,Partial fraction decomposition,0
890,Triangle,Solution of triangles,0
891,Polynomial,Binomial theorem,0
892,Mathematics,Monotonic function,0
893,Asymptote,Vertical line test,0
894,Unit circle,Sine,0
895,Mathematics,Interval (mathematics),0
896,Mathematics,Scalar multiplication,0
897,Equality (mathematics),Analytic geometry,0
898,Calculus,Series (mathematics),0
899,Real number,Distributive property,0
900,Sum,Addition,1
901,Mathematics,Perpendicular,0
902,Line segment,Triangle,0
903,Function (mathematics),Range (mathematics),0
904,Associative property,Set (mathematics),0
905,Plane (geometry),Geometry,1
906,Rational function,Function (mathematics),1
907,Line (geometry),Circle,0
908,Perpendicular,Slope,0
909,Circular motion,Circle,1
910,Complex number,Imaginary number,0
911,Cone,Ellipse,0
912,Polynomial,Nth root,0
913,Open set,Empty set,0
914,Eccentricity (mathematics),Conic section,1
915,Radius,Point (geometry),1
916,Common logarithm,Logarithm,1
917,Fundamental theorem of algebra,Number,1
918,Displacement (vector),Calculus,0
919,Subtraction,Number,1
920,Rational number,Real line,0
921,Analytic geometry,Angle,1
922,Constant function,Domain of a function,0
923,Arithmetic mean,Mathematics,1
924,Zero of a function,Domain of a function,1
925,Number,Dot product,0
926,Spherical law of cosines,Trigonometric functions,1
927,Function (mathematics),Function composition,0
928,Quadratic formula,Addition,1
929,Mathematics,Line (geometry),0
930,Equation,Equation solving,0
931,Rational root theorem,Multiplication,1
932,Orientation (geometry),Geometry,1
933,Binomial theorem,Real number,0
934,Binomial theorem,Binomial coefficient,0
935,Polar coordinate system,Plane (geometry),1
936,Mathematics,Pythagorean theorem,0
937,Spherical law of cosines,Polygon,0
938,Transformation (function),Set (mathematics),0
939,Function (mathematics),Binary logarithm,0
940,Algebraic expression,Integer,1
941,Arithmetic,Cross product,0
942,Geometry,Slope,0
943,Symmetry,Even and odd functions,0
944,Parametric equation,Number,1
945,Geometric series,Pythagorean theorem,0
946,Base (exponentiation),Logarithm,0
947,Square root,Rational number,0
948,Exponential growth,Natural logarithm,0
949,Plane (geometry),Cartesian coordinate system,0
950,Distance,Analytic geometry,0
951,Complex number,Inequality (mathematics),0
952,Exponential function,Graph of a function,0
953,Geometry,Triangle,0
954,Line (geometry),Geometry,1
955,Number,Partial fraction decomposition,0
956,Trigonometric functions,Pythagorean trigonometric identity,0
957,Polynomial,Interval (mathematics),0
958,Circle,Quadratic function,0
959,Product (mathematics),Number,1
960,Complex number,Cartesian coordinate system,0
961,Partial fraction decomposition,Division (mathematics),1
962,Mathematics,Polynomial,0
963,Real number,Multiplicative inverse,0
964,Rational root theorem,Mathematics,1
965,Mathematics,Factorization,0
966,Hyperbola,Geometry,0
967,Integer,Equation solving,0
968,Mathematics,Origin (mathematics),0
969,Elementary matrix,Matrix (mathematics),1
970,Curve,Chord (geometry),0
971,Conic section,Eccentricity (mathematics),0
972,Equation,Mathematics,1
973,Minor (linear algebra),Inverse function,0
974,Synthetic division,Division (mathematics),1
975,Vector field,Matrix multiplication,0
976,Polynomial,Complex number,0
977,Equation,Rational number,0
978,Quadratic equation,Polynomial long division,0
979,Identity matrix,Matrix (mathematics),1
980,Arithmetic,Multiplicative inverse,0
981,Degree of a polynomial,Multiplication,1
982,Arithmetic,Sum,0
983,Trigonometric functions,Spherical law of cosines,0
984,Addition,Nth root,0
985,Number,Imaginary number,0
986,Binomial coefficient,Real number,0
987,Addition,Parity (mathematics),0
988,Polynomial,Arithmetic,1
989,Multiplication,Exponentiation,0
990,Integer,Number,1
991,Matrix (mathematics),Invertible matrix,0
992,Function (mathematics),Empty set,0
993,Mathematics,Matrix ring,0
994,Law of sines,Geometry,1
995,Subtraction,Mathematics,1
996,Open set,Closed set,0
997,Inverse trigonometric functions,Inverse function,1
998,Calculus,Geometric series,0
999,Binomial,Factorization,0
1000,Quadratic equation,Equation solving,0
1001,Logarithm,Exponential growth,0
1002,Force,Vector field,0
1003,Arithmetic,Degree of a polynomial,0
1004,Quadratic function,Empty set,0
1005,Binary logarithm,Logarithm,1
1006,Real number,Mathematical proof,0
1007,Range (mathematics),Inverse trigonometric functions,0
1008,Mathematics,Triangular matrix,0
1009,Line segment,Radius,0
1010,Exponential function,Addition,0
1011,Inverse trigonometric functions,Mathematics,1
1012,Mathematics,Injective function,0
1013,Line (geometry),Line segment,0
1014,Line segment,Line (geometry),1
1015,Binomial theorem,Arithmetic,1
1016,Line (geometry),Complex number,0
1017,Mathematics,Linear function,0
1018,Inverse trigonometric functions,Sine,1
1019,Degree of a polynomial,Mathematics,1
1020,Number,Fundamental theorem of algebra,0
1021,Solution of triangles,Polygon,1
1022,Plane curve,Line (geometry),1
1023,Differential equation,Mathematics,1
1024,Conic section,Circle,1
1025,Quadratic formula,Mathematics,1
1026,Calculus,Fundamental theorem of algebra,0
1027,Factorization,Multiplication,1
1028,Main diagonal,Matrix (mathematics),1
1029,Complex number,Graph of a function,0
1030,Parallel (geometry),Geometry,1
1031,Geometry,Analytic geometry,0
1032,Equation,Algebraic expression,0
1033,Linear equation,Analytic geometry,0
1034,Multiplication,Elementary matrix,0
1035,Descartes' rule of signs,Polynomial long division,0
1036,Algebra,Linear inequality,0
1037,Algebraic equation,Mathematics,1
1038,Mathematics,Range (mathematics),0
1039,Determinant,Transformation (function),0
1040,Natural logarithm,Binary logarithm,0
1041,Point (geometry),Law of sines,0
1042,Geometry,Circle,0
1043,Partial fraction decomposition,Factorization,1
1044,Unit circle,Mathematics,1
1045,Multiplication,Natural number,0
1046,Domain of a function,Mathematics,1
1047,Algebraic expression,Algebra,1
1048,Polynomial long division,Arithmetic,1
1049,Descartes' rule of signs,Number,1
1050,Binomial coefficient,Polynomial,1
1051,Linear inequality,Number,1
1052,Number,Algebraic expression,0
1053,Algebraic expression,Multiplication,1
1054,Subtraction,Integer,0
1055,Identity matrix,Main diagonal,1
1056,Quadratic equation,Graph of a function,0
1057,Homogeneous polynomial,Arithmetic,1
1058,Point (geometry),Line–line intersection,0
1059,Addition,Natural number,0
1060,Rotation (mathematics),Geometry,1
1061,Prime number,Parity (mathematics),0
1062,Mathematics,Pythagorean trigonometric identity,0
1063,Trigonometric functions,Mathematics,1
1064,E (mathematical constant),Multiplicative inverse,0
1065,Coordinate system,Cartesian coordinate system,0
1066,Mathematics,Edge,0
1067,Rational number,Closed set,0
1068,Union (set theory),Associative property,0
1069,Linear inequality,Inequality (mathematics),1
1070,Number,Inequality (mathematics),0
1071,Commutative property,Real number,0
1072,Mathematics,Rational root theorem,0
1073,Linear function,Matrix (mathematics),0
1074,Division by zero,Mathematics,1
1075,Secant line,Geometry,1
1076,Scalar multiplication,Vector field,0
1077,Quadrant (plane geometry),Geometry,1
1078,Zero of a function,Geometry,0
1079,Common logarithm,Arithmetic,1
1080,Conic section,Cone,1
1081,Right triangle,Point (geometry),1
1082,Algebraic expression,Mathematics,1
1083,Mathematics,Natural logarithm,0
1084,Monotonic function,Function (mathematics),1
1085,Set (mathematics),Function (mathematics),0
1086,Matrix multiplication,Matrix (mathematics),1
1087,Geometry,Law of sines,0
1088,Linear inequality,Equality (mathematics),1
1089,Natural number,Function (mathematics),0
1090,Exponentiation,Mathematics,1
1091,Mathematics,Parametric equation,0
1092,Displacement (vector),Derivative,0
1093,Pythagorean trigonometric identity,Sine,0
1094,Parametric equation,Equality (mathematics),1
1095,Plane curve,Conic section,0
1096,Analytic geometry,Coordinate system,1
1097,Natural number,Number,1
1098,Binomial coefficient,Number,1
1099,System of linear equations,Linear equation,1
1100,Point (geometry),Polygon,0
1101,Mathematics,Arithmetic,0
1102,Exponentiation,Natural logarithm,0
1103,Number,Analytic geometry,0
1104,Transformation (function),Function (mathematics),1
1105,Multiplication,Cross product,0
1106,Natural number,Empty set,0
1107,Polynomial,Graph of a function,0
1108,Number,Polynomial,0
1109,Rotation of axes,Mathematics,1
1110,Equation,Integer,0
1111,Circle,Cartesian coordinate system,0
1112,Mathematics,Subtraction,0
1113,Sine,Geometry,1
1114,Unit circle,Pythagorean theorem,0
1115,Simultaneous equations,Number,1
1116,Equation,Cartesian coordinate system,0
1117,Function (mathematics),Distance,0
1118,Amplitude,Force,0
1119,Degree (angle),Mathematics,1
1120,Number,Real line,0
1121,Polynomial,Descartes' rule of signs,0
1122,Logarithm,Degree of a polynomial,0
1123,Inverse function,Mathematics,1
1124,Geometry,Trigonometric functions,0
1125,Constant function,Polynomial,0
1126,Range (mathematics),Limit of a sequence,0
1127,Force,Change of variables,0
1128,Chord (geometry),Point (geometry),1
1129,Homogeneous polynomial,Polynomial,1
1130,Point (geometry),Line segment,0
1131,Fundamental theorem of algebra,Integer,1
1132,Perpendicular,Equation,0
1133,Exponentiation,Function composition,0
1134,Sine,Multiplicative inverse,0
1135,Equation,Analytic geometry,0
1136,Complex number,Fundamental theorem of algebra,0
1137,Euclidean vector,Vector (mathematics and physics),1
1138,Exponential function,Arithmetic,1
1139,Curve,Unit circle,0
1140,Geometry,Polygon,0
1141,Sine wave,Geometry,1
1142,Line (geometry),Analytic geometry,0
1143,Equation,Fundamental theorem of algebra,0
1144,Asymptote,Geometry,1
1145,Rational number,Multiplicative inverse,0
1146,Zero (complex analysis),Complex number,1
1147,Equation,Subtraction,0
1148,Even and odd functions,Sine,0
1149,Rotation of axes,Conic section,0
1150,Curve,Ellipse,0
1151,Spherical law of cosines,Triangle,0
1152,Set (mathematics),Natural number,0
1153,Law of sines,Triangle,1
1154,Cone,Curve,1
1155,Base (exponentiation),Calculus,0
1156,Equality (mathematics),Rational root theorem,0
1157,Eccentricity (mathematics),Curve,1
1158,Division (mathematics),Arithmetic,1
1159,Geometry,Conic section,0
1160,Mathematics,Chord (geometry),0
1161,Binomial,Integer,1
1162,Multiplicative inverse,Number,1
1163,Area,Geometry,0
1164,Mathematics,Dependent and independent variables,0
1165,Linear function,Slope,0
1166,Line (geometry),Cartesian coordinate system,0
1167,Linear function,Real number,0
1168,Simple harmonic motion,Force,1
1169,Polynomial,Polynomial long division,0
1170,Circular sector,Line (geometry),1
1171,Negative number,Slope,0
1172,Real line,Graph of a function,0
1173,Secant line,Circle,0
1174,Unit circle,Cartesian coordinate system,0
1175,Exponentiation,Addition,0
1176,Set (mathematics),Open set,0
1177,Line (geometry),Displacement (vector),0
1178,Base (exponentiation),Multiplication,1
1179,Floor and ceiling functions,Function (mathematics),0
1180,Vector field,Mathematics,0
1181,Dot product,Mathematics,1
1182,Mathematics,Asymptote,0
1183,Sine wave,Line (geometry),1
1184,Integer,Inequality (mathematics),0
1185,Logarithm,Common logarithm,0
1186,Real number,Fundamental theorem of algebra,0
1187,Addition,Function (mathematics),0
1188,Addition,Descartes' rule of signs,0
1189,Analytic geometry,Number,1
1190,Minor (linear algebra),Identity matrix,0
1191,Multiplication,Mathematics,1
1192,Geometry,Edge,0
1193,Mathematical induction,Mathematics,1
1194,Real number,Natural logarithm,0
1195,Function composition,Commutative property,0
1196,Graph of a function,Function (mathematics),1
1197,Parity (mathematics),Mathematical proof,0
1198,Trigonometry,Solution of triangles,0
1199,Line segment,Point (geometry),1
1200,Base (exponentiation),Nth root,0
1201,Mathematics,Line–line intersection,0
1202,Line segment,Edge,0
1203,Mathematics,Graph of a function,0
1204,Range (mathematics),Real number,0
1205,Chord (geometry),Line (geometry),1
1206,Linear inequality,Equation,1
1207,Exponentiation,Negative number,0
1208,Vector (mathematics and physics),Scalar multiplication,0
1209,Natural logarithm,Multiplicative inverse,0
1210,Set (mathematics),Interval (mathematics),0
1211,Curve,Line (geometry),1
1212,Arithmetic,Polynomial,0
1213,Line (geometry),Unit circle,0
1214,Function (mathematics),Piecewise,0
1215,System of linear equations,Line (geometry),1
1216,Exponentiation,Polynomial,0
1217,Sign (mathematics),Absolute value,0
1218,Set (mathematics),Rational number,0
1219,Floor and ceiling functions,Limit of a sequence,0
1220,Multiplication,Complex number,0
1221,Analytic geometry,Distance,1
1222,Geometry,Plane (geometry),0
1223,Zero of a function,Real number,0
1224,Geometry,Vertical line test,0
1225,Injective function,Mathematics,1
1226,Linear function,Perpendicular,0
1227,Line (geometry),Eccentricity (mathematics),0
1228,Line (geometry),Asymptote,0
1229,Conic section,Geometry,1
1230,Mathematics,Matrix multiplication,0
1231,Multiplication,Inequality (mathematics),0
1232,Extended real number line,Mathematics,1
1233,Unit circle,Pythagorean trigonometric identity,0
1234,Algebra,Inequality (mathematics),0
1235,Mathematics,Triangle,0
1236,Right triangle,Right angle,1
1237,Multiplication,Identity matrix,0
1238,Integer,Fundamental theorem of algebra,0
1239,Algebraic equation,Equality (mathematics),1
1240,Line (geometry),Equation solving,0
1241,Amplitude,Periodic function,0
1242,Law of sines,Pythagorean theorem,0
1243,Degree (angle),Angle,1
1244,Geometry,Angle,0
1245,Parity (mathematics),Division (mathematics),0
1246,Coordinate system,Quadrant (plane geometry),0
1247,Identity (mathematics),Equality (mathematics),1
1248,Conic section,Line (geometry),1
1249,Quadratic equation,Real number,0
1250,Analytic geometry,Mathematics,1
1251,Integer,Sine,0
1252,Multiplication,Algebraic expression,0
1253,Series (mathematics),Mathematics,1
1254,Linear function,Degree of a polynomial,0
1255,Arithmetic,Binomial coefficient,0
1256,Line segment,Geometry,1
1257,Natural number,Division (mathematics),0
1258,Linear equation,Equation solving,0
1259,Triangle,Law of sines,0
1260,Mathematics,Orientation (geometry),0
1261,Pythagorean theorem,Distance,0
1262,Semi-major axis,Simple harmonic motion,0
1263,Base (exponentiation),Natural logarithm,0
1264,Arithmetic,Exponential growth,0
1265,Derivative,Vector (mathematics and physics),0
1266,Sine,Graph of a function,0
1267,Number,Simultaneous equations,0
1268,Slope,Geometry,1
1269,Mathematics,Image (mathematics),0
1270,Angle,Cartesian coordinate system,0
1271,Sine wave,Curve,1
1272,Matrix multiplication,Multiplication,1
1273,Pythagorean theorem,Function (mathematics),0
1274,Addition,Even and odd functions,0
1275,Mathematics,Quadratic formula,0
1276,Vector space,Vector (mathematics and physics),1
1277,Degree of a polynomial,Number,1
1278,Limit (mathematics),Parity (mathematics),0
1279,Equation,Division (mathematics),0
1280,Complex number,Sine,0
1281,Algebraic expression,Number,1
1282,Unit circle,Real number,0
1283,Partial fraction decomposition,Quadratic equation,0
1284,Associative property,Subtraction,0
1285,Mathematics,Inverse function,0
1286,Quadrant (plane geometry),Coordinate system,1
1287,Mathematics,Domain of a function,0
1288,Graph of a function,Cartesian coordinate system,0
1289,Triangle,Right triangle,0
1290,Quadratic function,Mathematics,1
1291,Limit of a function,Limit (mathematics),1
1292,Equality (mathematics),Simultaneous equations,0
1293,Line (geometry),Linear equation,0
1294,Chord (geometry),Mathematics,1
1295,Quadratic formula,Equality (mathematics),1
1296,Binary logarithm,Function (mathematics),1
1297,Real number,Common logarithm,0
1298,Partial fraction decomposition,Monomial,0
1299,Mathematics,Coordinate system,0
1300,Binomial,Multiplication,1
1301,Empty set,Closed set,0
1302,Function (mathematics),Rational function,0
1303,Algebraic equation,Equation,1
1304,Fundamental theorem of algebra,Arithmetic,1
1305,Graph (mathematics),Geometry,0
1306,Geometry,Cone,0
1307,Square matrix,Minor (linear algebra),0
1308,Equality (mathematics),Quadratic formula,0
1309,Linear equation,Slope,0
1310,Matrix multiplication,Mathematics,1
1311,Matrix multiplication,Elementary matrix,0
1312,Mathematics,Trigonometric tables,0
1313,Line (geometry),Sine wave,0
1314,Synthetic division,Multiplication,1
1315,Pythagorean theorem,Sine,0
1316,Complex number,Factorization,0
1317,Circle,Mathematics,1
1318,Polynomial,Quadratic equation,0
1319,Trigonometric functions,Identity (mathematics),0
1320,Mathematical proof,Mathematics,1
1321,Logarithm,Equation solving,0
1322,Mathematics,Circular sector,0
1323,Line (geometry),Edge,0
1324,Mathematics,Multiplication,0
1325,Parity (mathematics),Limit of a sequence,0
1326,Exponential function,E (mathematical constant),0
1327,Commutative property,Algebraic expression,0
1328,Triangle,Polygon,1
1329,Geometry,Quadrant (plane geometry),0
1330,Real number,Complex number,0
1331,Complex number,Real number,1
1332,Edge,Mathematics,1
1333,Arithmetic,Division by zero,0
1334,Square matrix,Main diagonal,0
1335,Number,Exponential function,0
1336,Simultaneous equations,Mathematics,1
1337,Even and odd functions,Real number,0
1338,Binomial coefficient,Binomial,1
1339,Calculus,Linear inequality,0
1340,Range (mathematics),Function (mathematics),1
1341,Line (geometry),Chord (geometry),0
1342,Interval (mathematics),Integer,0
1343,Geometric series,Area,0
1344,Mathematics,Periodic function,0
1345,Matrix (mathematics),Minor (linear algebra),0
1346,Line (geometry),Cylinder (geometry),0
1347,Multiplication,Integer,0
1348,Circle,Equation,0
1349,Equation solving,Mathematics,1
1350,Complex number,Inverse trigonometric functions,0
1351,Line segment,Semi-major axis,0
1352,Inverse function,Inverse trigonometric functions,0
1353,Inequality (mathematics),Multiplicative inverse,0
1354,Line (geometry),Real number,0
1355,Common logarithm,Exponentiation,1
1356,Edge,Geometry,1
1357,Multiplication,Logarithm,0
1358,Mathematics,Exponential growth,0
1359,Semi-major axis,Displacement (vector),0
1360,Monomial,Binomial,0
1361,Scientific notation,Division (mathematics),0
1362,Number,Zero (complex analysis),0
1363,Polynomial,Equation solving,0
1364,Associative property,Division (mathematics),0
1365,Logarithm,Multiplicative inverse,0
1366,Union (set theory),Distributive property,0
1367,Union (set theory),Commutative property,0
1368,Natural number,Subtraction,0
1369,Quadratic formula,Integer,1
1370,Angle,Triangle,0
1371,Function (mathematics),Quadratic function,0
1372,Complex conjugate,Number,1
1373,Exponential growth,Multiplication,1
1374,Calculus,Mathematics,1
1375,Number,Matrix ring,0
1376,Function (mathematics),Vertical line test,0
1377,Complex conjugate,Real number,1
1378,Plane (geometry),Mathematics,1
1379,Product topology,Number,1
1380,Mathematics,Cylinder (geometry),0
1381,Line segment,Semi-minor axis,0
1382,Angle,Geometry,1
1383,Unit circle,Circle,1
1384,Main diagonal,Identity matrix,0
1385,Mathematics,System of linear equations,0
1386,Mathematics,Law of sines,0
1387,Descartes' rule of signs,Arithmetic,1
1388,Logarithm,Real number,0
1389,Semi-major axis,Semi-minor axis,0
1390,Radius,Mathematics,1
1391,Geometry,Curve,0
1392,Real line,Distance,0
1393,Geometry,Degree (angle),0
1394,Set-builder notation,Set (mathematics),1
1395,Geometry,Secant line,0
1396,Angle,Rectangle,0
1397,Number,Real number,0
1398,Piecewise,Mathematics,1
1399,Integer,Synthetic division,0
1400,Range (mathematics),Complex number,0
1401,Image (mathematics),Mathematics,1
1402,Mathematics,Parallel (geometry),0
1403,Arithmetic,Parity (mathematics),0
1404,Spherical law of cosines,Pythagorean theorem,0
1405,Addition,Binomial coefficient,0
1406,Law of sines,Trigonometric functions,0
1407,Real number,Extended real number line,0
1408,Geometry,Sine wave,0
1409,Triangle,Angle,1
1410,Circular sector,Area,0
1411,Rational number,Number,1
1412,Mathematics,Function (mathematics),0
1413,Parity (mathematics),Number,0
1414,Mathematics,Circular motion,0
1415,Algebraic expression,Division (mathematics),0
1416,Curve,Circular sector,0
1417,Floor and ceiling functions,Periodic function,0
1418,Descartes' rule of signs,Polynomial,1
1419,Exponentiation,Integer,0
1420,Geometry,Cartesian coordinate system,0
1421,Number,Multiplicative inverse,0
1422,Simple harmonic motion,Sine wave,0
1423,Trigonometry,Spherical law of cosines,0
1424,Arithmetic,Synthetic division,0
1425,Real line,Line (geometry),1
1426,Mathematics,Linear equation,0
1427,Addition,Quadratic formula,0
1428,Calculus,Limit (mathematics),0
1429,Square root,Natural number,0
1430,Mathematics,Right triangle,0
1431,Logistic function,Natural logarithm,0
1432,Negative number,Inequality (mathematics),0
1433,Polar coordinate system,Mathematics,1
1434,Complex plane,Geometry,1
1435,Number,Square (algebra),0
1436,Elementary matrix,Identity matrix,1
1437,Synthetic division,Addition,1
1438,Multiplication,Quadratic formula,0
1439,Dependent and independent variables,Derivative,0
1440,Product topology,Mathematics,1
1441,Mathematics,Sum,0
1442,Integer,Polynomial,0
1443,Number,Synthetic division,0
1444,Pythagorean trigonometric identity,Trigonometric functions,1
1445,Equation,Rational root theorem,0
1446,Mathematics,Limit of a sequence,0
1447,Arithmetic,Matrix multiplication,0
1448,Quadratic equation,Analytic geometry,0
1449,Continuous function,Function (mathematics),1
1450,Integer,Real number,0
1451,Matrix (mathematics),Identity matrix,0
1452,Right triangle,Line segment,1
1453,Exponential function,Complex number,0
1454,Multiplication,Polynomial long division,0
1455,Number,Polynomial long division,0
1456,Equation,Change of variables,0
1457,Addition,Distributive property,0
1458,Scientific notation,Subtraction,0
1459,Dot product,Product (mathematics),1
1460,Vector (mathematics and physics),Vector field,0
1461,Mathematics,Dot product,0
1462,Mathematics,Partial fraction decomposition,0
1463,Perpendicular,Pythagorean theorem,0
1464,Interval (mathematics),Mathematics,1
1465,Division (mathematics),Elementary matrix,0
1466,Polynomial,Monomial,0
1467,Cone,Conic section,0
1468,Real line,Real number,1
1469,Fundamental theorem of algebra,Matrix (mathematics),0
1470,Polynomial,E (mathematical constant),0
1471,Commutative property,Division (mathematics),0
1472,Polynomial,Binomial coefficient,0
1473,Partial fraction decomposition,Real number,0
1474,Geometry,Parallel (geometry),0
1475,Degree (angle),Circular sector,0
1476,Rational root theorem,Addition,1
1477,Mathematics,Zero of a function,0
1478,Law of sines,Line (geometry),1
1479,Slope,Line (geometry),1
1480,Function composition,Mathematics,1
1481,Real number,Cartesian coordinate system,0
1482,Curve,Asymptote,0
1483,Number,Square root,0
1484,Polynomial,Subtraction,0
1485,Trigonometric functions,Geometry,1
1486,Hyperbola,Focus (geometry),0
1487,Mathematics,Function composition,0
1488,Line (geometry),Triangle,0
1489,Mathematics,Degree (angle),0
1490,Equation,Domain of a function,0
1491,Pythagorean theorem,Pythagorean trigonometric identity,0
1492,Multiplication,Matrix multiplication,0
1493,Rotation of axes,Geometry,1
1494,Curve,Conic section,0
1495,Interval (mathematics),Real line,0
1496,Matrix (mathematics),Main diagonal,0
1497,Angle,Perpendicular,0
1498,Logarithm,Base (exponentiation),1
1499,Mathematics,Parity (mathematics),0
1500,Cross product,Multiplication,1
1501,Real number,Vector (mathematics and physics),0
1502,Trigonometry,Trigonometric substitution,0
1503,Circle,Perpendicular,0
1504,Scientific notation,Integer,0
1505,Scientific notation,Natural logarithm,0
1506,Constant function,Zero of a function,0
1507,Geometric series,Series (mathematics),1
1508,Polar coordinate system,Coordinate system,1
1509,Function composition,Real number,0
1510,Absolute value,Sign (mathematics),1
1511,Summation,Mathematics,1
1512,Position (vector),Real number,0
1513,Binomial,Mathematics,1
1514,Logarithm,Nth root,0
1515,Curve,Secant line,0
1516,Determinant,Vector (mathematics and physics),0
1517,Multiplication,Exponential growth,0
1518,Vertical line test,Mathematics,1
1519,Arithmetic,Descartes' rule of signs,0
1520,Scalar multiplication,Addition,0
1521,Circular motion,Mathematics,1
1522,Number,Homogeneous polynomial,0
1523,Polygon,Line (geometry),1
1524,Line (geometry),Parallel (geometry),0
1525,Plane curve,Curve,1
1526,Mathematics,Right angle,0
1527,Operation (mathematics),Mathematics,1
1528,Coordinate system,Mathematics,1
1529,Constant function,Function (mathematics),1
1530,Arithmetic,Partial fraction decomposition,0
1531,Degree of a polynomial,Addition,1
1532,Zero (complex analysis),Real number,1
1533,Integer,Rational root theorem,0
1534,Geometry,Real line,0
1535,Multiplication,Base (exponentiation),0
1536,Algebraic operation,Number,1
1537,Mathematics,Rotation of axes,0
1538,Right triangle,Mathematics,1
1539,Square (algebra),Algebra,1
1540,Union (set theory),Addition,0
1541,Rational root theorem,Polynomial,1
1542,Exponentiation,Base (exponentiation),0
1543,Algebraic expression,Nth root,0
1544,Constant function,Mathematics,1
1545,Complex plane,Plane (geometry),1
1546,Real number,Distance,0
1547,Square root,Domain of a function,0
1548,Mathematics,Geometry,0
1549,Mathematics,Quadratic equation,0
1550,Open set,Function (mathematics),0
1551,Right triangle,Angle,1
1552,Negative number,Integer,0
1553,Union (set theory),Open set,0
1554,Function (mathematics),Mathematics,1
1555,Algebraic expression,Exponentiation,1
1556,Square root,Natural logarithm,0
1557,Base (exponentiation),Mathematics,1
1558,Curve,Mathematics,1
1559,Floor and ceiling functions,Real number,0
1560,Geometry,Spherical law of cosines,0
1561,Line (geometry),Polygon,0
1562,Range (mathematics),Inverse function,0
1563,Matrix multiplication,Number,1
1564,Number,Binomial coefficient,0
1565,Angle,Degree (angle),0
1566,Even and odd functions,Division (mathematics),0
1567,Number,E (mathematical constant),0
1568,Circle,Unit circle,0
1569,Constant function,Degree of a polynomial,0
1570,Linear equation,Linear inequality,0
1571,Rational root theorem,Equality (mathematics),1
1572,Complex number,Equation solving,0
1573,Exponential growth,Arithmetic,1
1574,Product (mathematics),Mathematics,1
1575,Multiplication,Descartes' rule of signs,0
1576,Trigonometry,Sine wave,0
1577,Partial fraction decomposition,Number,1
1578,Number,Negative number,0
1579,Imaginary number,Number,1
1580,Homogeneous polynomial,Multiplication,1
1581,Division (mathematics),Distributive property,0
1582,Synthetic division,Arithmetic,1
1583,Minor (linear algebra),Matrix multiplication,0
1584,Arithmetic,Empty sum,0
1585,Amplitude,Simple harmonic motion,0
1586,Inequality (mathematics),Domain of a function,0
1587,Linear function,Calculus,1
1588,Multiplicative inverse,Division (mathematics),1
1589,Plane (geometry),Orientation (geometry),0
1590,Arithmetic,Addition,0
1591,Natural logarithm,Base (exponentiation),1
1592,Zero of a function,Multiplicative inverse,0
1593,Determinant,Elementary matrix,0
